,Well 01,Well 02,Well 03,Well 04,Well 05,Well 06,Well 07,Well 08,Well 09,Well 10,Well 11,Well 12,Well 13,Well 14,Well 15,Well 16,Well 17,Well 18,Well 19,Well 20,Well 21,Well 22,Well 23,Well 24,Well 25,Well 26,Well 27,Well 28,Well 29,Well 30
0,865.7456024900129,1039.0835198727204,1118.061073089757,832.7389111912012,856.2619405495332,926.7825595031554,640.81983699059,869.4267394343027,1058.9383770037819,809.7132562632839,997.482909943356,965.4056364796224,904.5146414013236,858.8456032816777,819.6617389855131,905.6486842525763,961.454986892633,1073.543861523714,1079.5708762552442,1031.6578810084727,1126.874617004497,1052.5578411107938,1288.933947324932,1156.2348070507749,1248.459485979665,896.0705142629503,930.5207055958599,985.7635963780443,702.2083442322428,1374.5688024523943
1,803.5447389229244,741.4446601548225,996.4388514666881,828.5931799231544,836.6874091873996,823.6134992026879,608.1868986142317,811.3673111824125,705.9321967120958,715.1010137357946,760.4836478954546,722.9380969544809,1091.63361091808,827.9466416102937,855.981175740239,849.7485161654915,890.0059868568787,832.5338491766089,935.9795067861315,957.2071004110206,772.1880160474724,818.4100722817509,952.9023172540017,951.5511223598072,930.3600468753106,936.4100544944082,863.7049451704733,908.3006141250493,756.3677752432702,1014.8208300540305
2,527.2549553747871,645.2489772432638,727.8668226977835,695.1609277885623,695.0612672884718,702.6603993478822,512.8112171268243,735.5872169110002,775.5009928581,615.587337901777,763.5023651912235,616.6613693128704,924.2859043881182,617.7951711364194,786.1411947468332,634.7121122356727,562.0696162180283,767.3420347207904,598.0578219682114,813.0515368514003,822.3820146631818,738.1605041761553,1016.1735305691616,862.3100570338439,769.0324341122334,645.4496198445734,487.72137573190463,705.7100381322094,530.6988364223404,797.2751018007181
3,390.87937079139914,636.7161045965485,511.3574429063561,543.8528397643117,636.1966255455949,629.4042847612517,477.48589357167396,667.3840849173952,577.1234046998576,620.9394432618475,605.4086560977936,730.9561867440643,757.2421905405273,474.73837370395415,718.2959567621959,576.4782086171458,565.9491845937783,788.7574499412545,547.0852780253324,903.2084000980401,534.4406653036964,526.3925783340832,879.1529066027535,677.3846324748472,617.2794168279295,805.7404776446423,493.05579521397505,579.1178856008373,419.39244575605915,838.5411827204744
4,413.24308467379757,455.3403272679656,586.8422043308308,441.12058011322426,629.8424652097837,629.4243052166094,281.9964718171077,472.69614779789805,431.46757735076943,549.3386845399241,738.9295607765508,641.6993895294906,977.9772642421443,618.10068743957,602.9706799917922,481.6751255409468,427.20376853280186,837.4213028544266,411.34858485034437,817.7173953279553,692.2166935961753,387.00738094506625,840.780055126131,705.903925724958,478.3726696965487,636.0687970694324,468.36772686781313,348.0996780949954,389.8218289767888,544.3938535521304
5,295.4923961126487,504.6922418404741,558.8771391612537,397.71866507320135,543.0886704224681,511.81172980657,241.99896735281462,499.66562203316704,511.8369671178473,508.50200951462256,709.8876283051244,544.5300125677282,655.4650372633723,402.43977586737475,467.3642741167965,379.2118245802881,362.89033699807743,941.0337166815513,375.62928472076965,600.8938367288795,586.8844480689498,385.2610260679956,647.9905193917443,577.6930077009148,533.4970834573824,616.63346816081,489.0088622216322,400.43016619906683,356.46158904134654,630.6574379766188
6,191.32099352568966,531.3277929939125,383.91794648641496,269.0604964119192,366.60803782200014,415.18099274529243,292.9905215168409,558.6371290132024,482.68108862005306,350.3681541093955,498.78042908476,447.68634968185694,598.9484754559791,488.21846501765276,392.6025499314309,348.725803349403,452.26431986199435,903.7523025449563,220.98395408760413,739.7985043237051,443.4072457940137,286.6712166302578,647.1683882673166,544.3237678154383,465.25685387074697,551.0940645591534,362.1831102369165,271.08990288729996,386.3764600868541,448.7008346694533
7,167.7889995697281,459.8236089749951,351.0671253424979,209.13362397539598,453.93245524614895,427.7585678156229,156.25536489579136,520.5359790987029,408.3476831103126,346.17151878844464,458.1451360452873,568.4735299879228,530.497411143619,456.7506806985069,364.1623007883422,346.07588352757375,323.65945021679283,701.2910770281492,269.69612954265585,589.4153510502287,455.05846860714564,228.8873195351133,621.2663265023018,501.62662976786584,295.4413217599483,491.69129353388576,344.04458307375603,199.29158544641513,265.04209798941673,443.7572318625586
8,172.03667165467877,284.76987946749085,321.6022633692429,205.28529370857885,385.66775299883403,314.64030523939545,165.02403005248885,408.14192677510135,440.455624816376,250.24780821811692,436.02152003157147,394.72673199910105,736.5751009898559,429.895617029813,330.57728514900504,242.218685563031,383.41325740048103,726.989199231469,191.43951526248907,570.5639022966617,358.5006646546235,253.2229549112692,552.054502818166,557.1286892665483,227.93388284909895,377.7792774575629,363.53277236687927,168.14402320672087,272.64012506689306,374.8937057203957
9,66.15860586717451,275.8628911463036,317.437435235426,150.2587340198294,255.61559350215828,386.7638231428969,125.64136989405074,475.09608416352177,363.7669782360506,248.82669430863336,426.4479795893435,439.62819196227736,592.5670521991342,214.5922749178439,318.77456448235444,218.6611816816823,218.26949260119653,772.9024011649042,136.84073896823816,497.4507035345509,383.724397191947,129.39271768105573,519.6552223620944,464.5776711161199,200.28760724822843,359.997139027908,324.8386494115039,133.59220092898144,250.24810126175572,462.5154927906014
10,108.76727065204403,297.2487819494137,292.9251053879572,109.58402371145793,304.6997739364214,366.7664258453608,125.40417024112824,315.64481579722496,282.5295458859803,232.1395593598878,567.8120165459711,302.27649622591497,469.8946869840503,262.6883191594493,315.8335641316825,263.8001041237807,310.0374456354377,794.2715151323094,96.44998820964496,596.1228548366563,379.6610897981011,138.9104805284114,456.5148452537369,399.008626198,186.4376500324437,386.34121776970574,292.86418830176365,128.05179357929381,230.48093620961959,304.6793842926967
